timestamp,phase,iteration,global_step,episode_len,buffer_size,loss,policy_loss,value_loss,entropy,kl,lr,lr_multiplier,arena_winrate,baseline_winrate,updated_best,eval_games,board_w,board_h,n_in_row,n_playout,c_puct,temp,device
1775641728.7644684,update,415,2074,23,10000,2.2631735801696777,1.4563909769058228,0.8067825436592102,1.5346200466156006,0.027575722,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641738.90782,selfplay,416,2074,26,10000,,,,,,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641739.103785,update,416,2079,26,10000,2.1664328575134277,1.415381669998169,0.7510511875152588,1.4808919429779053,0.03484302,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641749.4511976,selfplay,417,2079,28,10000,,,,,,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641749.6547203,update,417,2084,28,10000,2.2811527252197266,1.4833078384399414,0.7978447675704956,1.472542643547058,0.025065705,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641762.6661334,selfplay,418,2084,36,10000,,,,,,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641762.883724,update,418,2089,36,10000,2.287835121154785,1.4384843111038208,0.8493508100509644,1.4921356439590454,0.03276062,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641772.062479,selfplay,419,2089,24,10000,,,,,,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641772.269849,update,419,2094,24,10000,2.2623109817504883,1.4271094799041748,0.8352014422416687,1.4752007722854614,0.034118894,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641783.0445738,selfplay,420,2094,29,10000,,,,,,0.0003950617283950617,0.19753086419753085,,,,,8,8,5,400,5,1.0,cpu
1775641783.242228,update,420,2099,29,10000,2.4873995780944824,1.5541272163391113,0.9332723021507263,1.6281076669692993,0.042312115,0.0003950617283950617,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641797.041673,selfplay,421,2099,41,10000,,,,,,0.0003950617283950617,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641797.2297559,update,421,2104,41,10000,2.4585092067718506,1.615963101387024,0.8425460457801819,1.6303273439407349,0.015061172,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641808.100634,selfplay,422,2104,29,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641808.2564688,update,422,2109,29,10000,2.356489896774292,1.5833369493484497,0.7731530070304871,1.6443662643432617,0.02755661,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641822.336746,selfplay,423,2109,43,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641822.5501819,update,423,2114,43,10000,2.4152469635009766,1.5799227952957153,0.8353241682052612,1.6049546003341675,0.023470495,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641836.9147818,selfplay,424,2114,43,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641837.1181521,update,424,2119,43,10000,2.33827805519104,1.5167871713638306,0.8214908838272095,1.5605783462524414,0.015429586,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641851.278969,selfplay,425,2119,39,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641851.447313,update,425,2124,39,10000,2.3533849716186523,1.5608279705047607,0.792556881904602,1.607954978942871,0.013191783,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641864.3119683,selfplay,426,2124,35,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641864.5121195,update,426,2129,35,10000,2.3720619678497314,1.5222892761230469,0.8497727513313293,1.5911469459533691,0.015175669,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641875.2355504,selfplay,427,2129,26,10000,,,,,,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
1775641875.4324508,update,427,2134,26,10000,2.2684009075164795,1.4783241748809814,0.790076732635498,1.5600180625915527,0.010858993,0.0002633744855967078,0.1316872427983539,,,,,8,8,5,400,5,1.0,cpu
